"","CCLE.PRISM","CCLE.CTRPv2","GDSC_v1","GDSC_v2","GRAY","UHNBreast","gCSI"
"Narciclasine",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"NSC19630",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"NVP-ADW742",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"PF-543",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"PIK-93",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Piperlongumine",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"PRIMA-1-Met",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"QS11",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Telomerase Inhibitor IX",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Tretinoin",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Tubastatin A",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"UNC0638",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Veliparib dihydrochloride",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"XL765",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"681640",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"AGI-6780",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Aminofurazanyl-azabenzimidazole 6n",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"AZD1208",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"AZD1332",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"AZD5582",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"AZD6738",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"AZD8186",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Cetuximab",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"IAP_5620",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"LGK974",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"MIM1",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Mirin",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Nutlin-3a (-)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Pemetrexed",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"PFI-3",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"RO-3306",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"SB 216763",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"UNC0642",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"VX-11e",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Wnt-C59",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"XAV-939",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Trastuzumab",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"1-Azakenpaullone",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1-naphthyl-PP1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1-Phenylbiguanide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10-Deacetylbaccatin III",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10-Hydroxycamptothecin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Phorbol 12-myristate 13-acetate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2-Methoxyestradiol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3-(2,3-Dichlorophenoxy)propyl-(2-hydroxyethyl)azanium",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2'-MeCCPA",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3-aminobenzamide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3-Deazaneplanocin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3'-fluorobenzylspiperone",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1-(4-Chlorophenyl)guanidine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4-hydroxyphenazone",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4-IPP",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Biochanin A",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4-Methylhistamine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Pyrimidine-4-carbonitrile",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4E1RCat",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Desfesoterodine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7-aminocephalosporanic acid",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7-Hydroxystaurosporine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7-nitroindazole",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8-Bromo-cGMP",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8-Hydroxy-pipat",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9-Aminoacridine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A-674563",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A-803467",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A61603",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Abemaciclib",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Abt-702",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Abt-751",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AC-264613",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Acdpp",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"acesulfame-potassium",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Acetazolamide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Acetophenazine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Acetylcysteine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Acetylsalicylsalicylic acid",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Acipimox",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Acivicin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Adapalene",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"alpha-D-Glucose-6-phosphate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Adarotene",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Adefovir dipivoxil",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ADL5859",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AEE788",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AEG3482",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fabomotizole",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AG14361",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ajmaline",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Albendazole",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Alexidine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Alfacalcidol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Almorexant",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Alogliptin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Altretamine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Alvespimycin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AM-251",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AM-404",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ambazone",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Amfenac",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AMG-208",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AMG-232",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AMG-458",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AMG-900",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aminoglutethimide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aminopurvalanol A",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Amisulpride",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ammonium-lactate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Amonafide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Amoxicillin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Amprolio",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Amsacrine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Anagrelide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Anastrozole",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Anguidin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Anisomycin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Rimiducid",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AP26113",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Apatinib",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aphidicolin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Arctigenin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Arcyriaflavin a",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aripiprazole",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Varlitinib",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Artemisinin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Artesunate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AS-1949490",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Pimasertib",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aspirin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Astemizole",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"N,N-Dimethylarginine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AT-9283",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Esatenolol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atenolol-(+/-)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atipamezole",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atiprimod",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Atorvastatin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"aurora-a-inhibitor-i",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AV-412",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Avanafil",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Spebrutinib",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Avn-944",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Elaiophylin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Azathioprine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AZD-2461",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AZD-2858",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AZD-3463",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AZD8330",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sapitinib",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Alvelestat",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Azilsartan",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Azithromycin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Azodicarbonamide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2-Nitroimidazole",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Azactam",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bafetinib",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Baicalin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Balapiravir",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"BAN-ORL-24",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Azd-1152hqpa",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Baricitinib",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Batimastat",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bay-11-7082",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bay 11-7085",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"BAY-87-2243",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"BAY-K-8644-(s)-(-)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Beclomethasone dipropionate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bekanamycin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bendroflumethiazide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Benzoylthiamine monophosphate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bentazepam",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Benzethonium",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Benzocaine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Benzydamine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cetalkonium",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bephenium hydroxynaphthoate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Berberine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"beta-Lapachone",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2-Naphthol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Betamethasone",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Betamethasone dipropionate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Pitolisant",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"BGT-226 free base",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"BI-78D3",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"bid1870",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"BIBU-1361",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Falnidamol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bifemelane",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"B-7100",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bindarit",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bis(maltolato)oxovanadium(IV)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bisacodyl",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bisindolylmaleimide IX",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bitopertin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"BIX-02188",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bms-265246",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"BMS-599626",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Temsavir",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"BMS-690514",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bms-707035",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bms-986020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"BNC105",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7-Benzylidenenaltrexone",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bosentan",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Brequinar",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Brigatinib",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Brilliant green",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Brivaracetam",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bromosporine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Broxaldine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Broxyquinoline",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bruceantin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Didesmethylsibutramine hydrochloride",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Dibutyryl cAMP",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bumetanide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Nylidrin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Busulfan",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Butyl 4-aminobenzoate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"l-Buthionine sulfoximine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Butylscopolamine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"BVT-948",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Dadle",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cabazitaxel",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Caffeic acid",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Caffeic acid phenethyl ester",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Calcitriol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Camylofine-chlorhydrate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Candesartan",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Canrenone",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Capecitabine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Capsaicin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Captamine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Carbachol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Carboplatin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Carboxyamidotriazole",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6,6'-Dithiodinicotinic acid",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Carfilzomib",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cariporide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Carmofur",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Carvedilol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1-(4-Carboxyphenyl)-3,3-dimethyltriazene",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CCG-50014",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CID 67042344",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CCT-128930",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CCT129202",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CCT137690",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cebranopadol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cefdinir",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cefditorin pivoxil",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cefpiramide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Agerafenib",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CEP-33779",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cep-37440",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cephalomannine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cetrimonium",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cetylpyridinium",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Nvp-cgm097",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CGP-37849",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4,5-dianilinophthalimide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CGP-54626",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CGS-15943",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unii-K9Q4R9S81O",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CH5132799",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chicago Sky Blue 6B",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chidamide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CHIR-124",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CHIR-98014",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chloramphenicol palmitate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chlorhexidine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chlorindanol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chlormidazole",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chlorogenic acid",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chloropyramine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chloroxine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chlorpropamide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chlorpyrifos",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chlorquinaldol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cholecalciferol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chromocarb",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3-Phenoxypyridine monosulfate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cibenzoline",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ciclesonide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(2E)-2-Benzylidene-3-(cyclohexylamino)inden-1-ol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cidofovir",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cilostamide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cinacalcet",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cinalukast",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cinnarazine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cinromide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ciprofibrate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CL-218872",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cladribine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Clebopride",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Clenbuterol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Clindamycin phosphate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Clobetasol propionate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Clobutinol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Clocortolone pivalate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Clofazimine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Clofibrate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Clofoctol",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Clomifene",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Clonazepam",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Clopamide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Clotrimazole",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"MK2a Inhibitor",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CNX-2006",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CNX-774",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cobicistat",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Cobimetinib",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"colchicine",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Colforsin daropate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
